,Title,Topic Label,Accetpance,Difficulty,Frequency,Accepted,Submissions,Premium
1310,1310. XOR Queries of a Subarray,"['Array', 'Bit Manipulation', 'Prefix Sum']",72.30%,Medium,33.203%;,46.4K,64.2K,
1311,1311. Get Watched Videos by Your Friends,"['Array', 'Hash Table', 'Breadth-First Search', '2+']",45.90%,Medium,22.1788%;,18K,39.2K,
1312,1312. Minimum Insertion Steps to Make a String Palindrome,"['String', 'Dynamic Programming']",66.20%,Hard,31.9862%;,74.7K,112.8K,
1313,1313. Decompress Run-Length Encoded List,['Array'],85.80%,Easy,33.8296%;,221K,257.6K,
1314,1314. Matrix Block Sum,"['Array', 'Matrix', 'Prefix Sum']",75.40%,Medium,47.1699%;,76K,100.7K,
1315,1315. Sum of Nodes with Even-Valued Grandparent,"['Tree', 'Depth-First Search', '2+']",85.50%,Medium,25.6994%;,126.1K,147.5K,
1316,1316. Distinct Echo Substrings,"['String', 'Trie', 'Rolling Hash', '1+']",49.60%,Hard,28.4803%;,13.9K,28K,
1317,1317. Convert Integer to the Sum of Two No-Zero Integers,['Math'],55.50%,Easy,19.1985%;,36.7K,66.2K,
1318,1318. Minimum Flips to Make a OR b Equal to c,['Bit Manipulation'],66.00%,Medium,10.1499%;,29.5K,44.7K,
1319,1319. Number of Operations to Make Network Connected,"['Depth-First Search', 'Breadth-First Search', '2+']",58.90%,Medium,36.1041%;,115.9K,196.8K,
1320,1320. Minimum Distance to Type a Word Using Two Fingers,"['String', 'Dynamic Programming']",59.50%,Hard,0%;,27.5K,46.1K,
1321,1321. Restaurant Growth,['Database'],70.70%,Medium,0%;,29.7K,42K,Y
1322,1322. Ads Performance,['Database'],60.30%,Easy,16.4607%;,35.8K,59.3K,Y
1323,1323. Maximum 69 Number,"['Math', 'Greedy']",82.10%,Easy,71.9334%;,211.3K,257.3K,
1324,1324. Print Words Vertically,"['Array', 'String', 'Simulation']",61.40%,Medium,37.2197%;,32.9K,53.7K,
1325,1325. Delete Leaves With a Given Value,"['Tree', 'Depth-First Search', 'Binary Tree']",74.70%,Medium,13.974%;,85.5K,114.5K,
1326,1326. Minimum Number of Taps to Open to Water a Garden,"['Array', 'Dynamic Programming', 'Greedy']",47.60%,Hard,49.2959%;,67.6K,142K,
1327,1327. List the Products Ordered in a Period,['Database'],76.30%,Easy,0%;,34.9K,45.7K,Y
1328,1328. Break a Palindrome,"['String', 'Greedy']",52.70%,Medium,91.1903%;,144.3K,273.9K,
1329,1329. Sort the Matrix Diagonally,"['Array', 'Sorting', 'Matrix']",83.40%,Medium,50.8109%;,144.5K,173.4K,
1330,1330. Reverse Subarray To Maximize Array Value,"['Array', 'Math', 'Greedy']",40.20%,Hard,20.2551%;,4.6K,11.5K,
1331,1331. Rank Transform of an Array,"['Array', 'Hash Table', 'Sorting']",59.20%,Easy,39.7966%;,81.4K,137.5K,
1332,1332. Remove Palindromic Subsequences,"['Two Pointers', 'String']",76.20%,Easy,14.3799%;,119.4K,156.7K,
1333,"1333. Filter Restaurants by Vegan-Friendly, Price and Distance","['Array', 'Sorting']",60.00%,Medium,33.9534%;,26.1K,43.5K,
1334,1334. Find the City With the Smallest Number of Neighbors at a Threshold Distance,"['Dynamic Programming', 'Graph', 'Shortest Path']",54.40%,Medium,53.9226%;,59.7K,109.8K,
1335,1335. Minimum Difficulty of a Job Schedule,"['Array', 'Dynamic Programming']",58.50%,Hard,75.099%;,119.3K,203.9K,
1336,1336. Number of Transactions per Visit,['Database'],49.90%,Hard,0%;,10.7K,21.5K,Y
1337,1337. The K Weakest Rows in a Matrix,"['Array', 'Binary Search', 'Sorting', '2+']",72.10%,Easy,59.636%;,237K,328.6K,
1338,1338. Reduce Array Size to The Half,"['Array', 'Hash Table', 'Greedy', '2+']",69.40%,Medium,47.3583%;,169.2K,243.7K,
1339,1339. Maximum Product of Splitted Binary Tree,"['Tree', 'Depth-First Search', 'Binary Tree']",47.80%,Medium,78.2164%;,113.1K,236.5K,
1340,1340. Jump Game V,"['Array', 'Dynamic Programming', 'Sorting']",62.50%,Hard,32.9237%;,24.9K,39.8K,
1341,1341. Movie Rating,['Database'],57.30%,Medium,0%;,26.1K,45.6K,Y
1342,1342. Number of Steps to Reduce a Number to Zero,"['Math', 'Bit Manipulation']",85.20%,Easy,50.873%;,483.6K,567.8K,
1343,1343. Number of Sub-arrays of Size K and Average Greater than or Equal to Threshold,"['Array', 'Sliding Window']",67.60%,Medium,24.0662%;,53.3K,78.9K,
1344,1344. Angle Between Hands of a Clock,['Math'],63.30%,Medium,54.7585%;,104.7K,165.4K,
1345,1345. Jump Game IV,"['Array', 'Hash Table', 'Breadth-First Search']",47.00%,Hard,53.5776%;,128.1K,272.6K,
1346,1346. Check If N and Its Double Exist,"['Array', 'Hash Table', 'Two Pointers', '2+']",36.50%,Easy,27.0021%;,273.1K,748.2K,
1347,1347. Minimum Number of Steps to Make Two Strings Anagram,"['Hash Table', 'String', 'Counting']",77.80%,Medium,68.0072%;,125.4K,161.3K,
1348,1348. Tweet Counts Per Frequency,"['Hash Table', 'Binary Search', 'Design', '2+']",43.90%,Medium,40.3369%;,29.9K,68.2K,
1349,1349. Maximum Students Taking Exam,"['Array', 'Dynamic Programming', '3+']",48.90%,Hard,32.1117%;,12.7K,26K,
1350,1350. Students With Invalid Departments,['Database'],90.30%,Easy,0%;,47.2K,52.3K,Y
1351,1351. Count Negative Numbers in a Sorted Matrix,"['Array', 'Binary Search', 'Matrix']",75.50%,Easy,35.4792%;,234.6K,310.9K,
1352,1352. Product of the Last K Numbers,"['Array', 'Math', 'Design', '2+']",50.00%,Medium,54.6258%;,67.9K,135.6K,
1353,1353. Maximum Number of Events That Can Be Attended,"['Array', 'Greedy', 'Sorting', '1+']",32.60%,Medium,73.0879%;,67.8K,208.2K,
1354,1354. Construct Target Array With Multiple Sums,"['Array', 'Heap (Priority Queue)']",36.30%,Hard,0%;,63.9K,176.2K,
1355,1355. Activity Participants,['Database'],73.80%,Medium,0%;,25K,33.8K,Y
1356,1356. Sort Integers by The Number of 1 Bits,"['Array', 'Bit Manipulation', 'Sorting', '1+']",73.00%,Easy,76.0529%;,106.8K,146.4K,
1357,1357. Apply Discount Every n Orders,"['Array', 'Hash Table', 'Design']",69.90%,Medium,0%;,17.6K,25.2K,
1358,1358. Number of Substrings Containing All Three Characters,"['Hash Table', 'String', 'Sliding Window']",63.30%,Medium,37.6761%;,54.3K,85.7K,
1359,1359. Count All Valid Pickup and Delivery Options,"['Math', 'Dynamic Programming', 'Combinatorics']",62.60%,Hard,27.4419%;,58K,92.8K,
1360,1360. Number of Days Between Two Dates,"['Math', 'String']",48.10%,Easy,65.1886%;,38.9K,80.9K,
1361,1361. Validate Binary Tree Nodes,"['Tree', 'Depth-First Search', '4+']",39.90%,Medium,23.1776%;,42.4K,106.2K,
1362,1362. Closest Divisors,['Math'],59.80%,Medium,13.5894%;,18.5K,31K,
1363,1363. Largest Multiple of Three,"['Array', 'Dynamic Programming', 'Greedy']",33.30%,Hard,28.1857%;,17K,51K,
1364,1364. Number of Trusted Contacts of a Customer,['Database'],77.70%,Medium,15.2639%;,16.5K,21.3K,Y
1365,1365. How Many Numbers Are Smaller Than the Current Number,"['Array', 'Hash Table', 'Sorting', '1+']",86.60%,Easy,44.4668%;,415.4K,479.4K,
1366,1366. Rank Teams by Votes,"['Array', 'Hash Table', 'String', '2+']",57.90%,Medium,74.3317%;,51.7K,89.2K,
1367,1367. Linked List in Binary Tree,"['Linked List', 'Tree', 'Depth-First Search', '2+']",43.70%,Medium,8.86945%;,64K,146.5K,
1368,1368. Minimum Cost to Make at Least One Valid Path in a Grid,"['Array', 'Breadth-First Search', 'Graph', '3+']",61.50%,Hard,44.195%;,39.2K,63.7K,
1369,1369. Get the Second Most Recent Activity,['Database'],69.10%,Hard,0%;,18.2K,26.4K,Y
1370,1370. Increasing Decreasing String,"['Hash Table', 'String', 'Counting']",77.20%,Easy,36.4296%;,64.4K,83.4K,
1371,1371. Find the Longest Substring Containing Vowels in Even Counts,"['Hash Table', 'String', 'Bit Manipulation', '1+']",63.20%,Medium,46.9417%;,22.2K,35.1K,
1372,1372. Longest ZigZag Path in a Binary Tree,"['Dynamic Programming', 'Tree', '2+']",60.20%,Medium,12.9025%;,45.7K,76K,
1373,1373. Maximum Sum BST in Binary Tree,"['Dynamic Programming', 'Tree', '3+']",39.40%,Hard,22.8979%;,49K,124.4K,
1374,1374. Generate a String With Characters That Have Odd Counts,['String'],77.60%,Easy,14.9577%;,77.8K,100.3K,
1375,1375. Number of Times Binary String Is Prefix-Aligned,['Array'],65.80%,Medium,37.6761%;,45.7K,69.5K,
1376,1376. Time Needed to Inform All Employees,"['Tree', 'Depth-First Search', '1+']",58.30%,Medium,45.5547%;,128.1K,219.6K,
1377,1377. Frog Position After T Seconds,"['Tree', 'Depth-First Search', '2+']",35.80%,Hard,15.9149%;,24.2K,67.7K,
1378,1378. Replace Employee ID With The Unique Identifier,['Database'],91.10%,Easy,9.32972%;,35.6K,39.1K,Y
1379,1379. Find a Corresponding Node of a Binary Tree in a Clone of That Tree,"['Tree', 'Depth-First Search', '2+']",86.70%,Easy,27.2551%;,187.4K,216.1K,
1380,1380. Lucky Numbers in a Matrix,"['Array', 'Matrix']",70.60%,Easy,49.5583%;,81.3K,115.1K,
1381,1381. Design a Stack With Increment Operation,"['Array', 'Stack', 'Design']",77.10%,Medium,39.5884%;,89.9K,116.5K,
1382,1382. Balance a Binary Search Tree,"['Divide and Conquer', 'Greedy', 'Tree', '3+']",80.70%,Medium,17.8323%;,115.1K,142.7K,
1383,1383. Maximum Performance of a Team,"['Array', 'Greedy', 'Sorting', '1+']",48.50%,Hard,60.7156%;,85.8K,176.9K,
1384,1384. Total Sales Amount by Year,['Database'],65.40%,Hard,19.1985%;,14.1K,21.6K,Y
1385,1385. Find the Distance Value Between Two Arrays,"['Array', 'Two Pointers', 'Binary Search', '1+']",66.40%,Easy,37.5331%;,78.6K,118.4K,
1386,1386. Cinema Seat Allocation,"['Array', 'Hash Table', 'Greedy', '1+']",40.90%,Medium,79.2478%;,37.8K,92.4K,
1387,1387. Sort Integers by The Power Value,"['Dynamic Programming', 'Memoization', 'Sorting']",70.10%,Medium,57.4686%;,75.7K,108K,
1388,1388. Pizza With 3n Slices,"['Array', 'Dynamic Programming', 'Greedy', '1+']",50.20%,Hard,13.1068%;,13.8K,27.6K,
1389,1389. Create Target Array in the Given Order,"['Array', 'Simulation']",85.80%,Easy,40.4127%;,186.7K,217.5K,
1390,1390. Four Divisors,"['Array', 'Math']",41.20%,Medium,9.86312%;,25.2K,61.3K,
1391,1391. Check if There is a Valid Path in a Grid,"['Array', 'Depth-First Search', '3+']",47.30%,Medium,12.6554%;,24.2K,51.2K,
1392,1392. Longest Happy Prefix,"['String', 'Rolling Hash', 'String Matching', '1+']",44.90%,Hard,44.746%;,28.9K,64.3K,
1393,1393. Capital Gain/Loss,['Database'],87.70%,Medium,30.1164%;,77.1K,88K,
1394,1394. Find Lucky Integer in an Array,"['Array', 'Hash Table', 'Counting']",64.40%,Easy,30.1964%;,90.3K,140.2K,
1395,1395. Count Number of Teams,"['Array', 'Dynamic Programming', '1+']",67.30%,Medium,45.4459%;,99.6K,148K,
1396,1396. Design Underground System,"['Hash Table', 'String', 'Design']",73.60%,Medium,74.5888%;,163.2K,221.8K,
1397,1397. Find All Good Strings,"['String', 'Dynamic Programming', '1+']",42.30%,Hard,45.7869%;,5.1K,12.2K,
1398,1398. Customers Who Bought Products A and B but Not C,['Database'],76.00%,Medium,19.4514%;,40K,52.7K,Y
1399,1399. Count Largest Group,"['Hash Table', 'Math']",67.00%,Easy,15.8399%;,37.2K,55.6K,
1400,1400. Construct K Palindrome Strings,"['Hash Table', 'String', 'Greedy', '1+']",62.80%,Medium,11.8338%;,44.4K,70.7K,
1401,1401. Circle and Rectangle Overlapping,"['Math', 'Geometry']",44.10%,Medium,43.3256%;,11.5K,26.1K,
1402,1402. Reducing Dishes,"['Array', 'Dynamic Programming', 'Greedy', '1+']",72.00%,Hard,37.7001%;,53.9K,74.9K,
1403,1403. Minimum Subsequence in Non-Increasing Order,"['Array', 'Greedy', 'Sorting']",72.30%,Easy,0%;,60.1K,83.1K,
1404,1404. Number of Steps to Reduce a Number in Binary Representation to One,"['String', 'Bit Manipulation']",52.60%,Medium,49.8689%;,33.5K,63.8K,
1405,1405. Longest Happy String,"['String', 'Greedy', 'Heap (Priority Queue)']",57.40%,Medium,57.1719%;,64K,111.5K,
1406,1406. Stone Game III,"['Array', 'Math', 'Dynamic Programming', '1+']",59.60%,Hard,30.5193%;,42.3K,71K,
1407,1407. Top Travellers,['Database'],62.10%,Easy,5.02444%;,78.3K,126K,
1408,1408. String Matching in an Array,"['Array', 'String', 'String Matching']",63.80%,Easy,28.7956%;,68.4K,107.2K,
1409,1409. Queries on a Permutation With Key,"['Array', 'Binary Indexed Tree', 'Simulation']",83.40%,Medium,10.1499%;,42.7K,51.2K,
1410,1410. HTML Entity Parser,"['Hash Table', 'String']",51.70%,Medium,46.9668%;,21.2K,41K,
1411,1411. Number of Ways to Paint N × 3 Grid,['Dynamic Programming'],62.40%,Hard,44.746%;,28.5K,45.6K,
1412,1412. Find the Quiet Students in All Exams,['Database'],62.10%,Hard,0%;,20.7K,33.3K,Y
1413,1413. Minimum Value to Get Positive Step by Step Sum,"['Array', 'Prefix Sum']",67.40%,Easy,50.69%;,95.4K,141.6K,
1414,1414. Find the Minimum Number of Fibonacci Numbers Whose Sum Is K,"['Math', 'Greedy']",65.50%,Medium,11.4586%;,36.4K,55.7K,
1415,1415. The k-th Lexicographical String of All Happy Strings of Length n,"['String', 'Backtracking']",72.50%,Medium,12.6554%;,31.1K,42.9K,
1416,1416. Restore The Array,"['String', 'Dynamic Programming']",38.70%,Hard,42.0456%;,14.6K,37.9K,
1417,1417. Reformat The String,['String'],54.80%,Easy,7.26126%;,49.4K,90K,
1418,1418. Display Table of Food Orders in a Restaurant,"['Array', 'Hash Table', 'String', '2+']",74.10%,Medium,36.272%;,23K,31K,
1419,1419. Minimum Number of Frogs Croaking,"['String', 'Counting']",50.20%,Medium,65.2332%;,35.4K,70.5K,
1420,1420. Build Array Where You Can Find The Maximum Exactly K Comparisons,['Dynamic Programming'],63.10%,Hard,0%;,11.2K,17.8K,
1421,1421. NPV Queries,['Database'],83.30%,Easy,0%;,22.6K,27.1K,Y
1422,1422. Maximum Score After Splitting a String,['String'],58.00%,Easy,15.2639%;,45.5K,78.4K,
1423,1423. Maximum Points You Can Obtain from Cards,"['Array', 'Sliding Window', 'Prefix Sum']",52.30%,Medium,51.2004%;,217.1K,415.5K,
1424,1424. Diagonal Traverse II,"['Array', 'Sorting', 'Heap (Priority Queue)']",50.50%,Medium,34.82%;,47.3K,93.7K,
1425,1425. Constrained Subsequence Sum,"['Array', 'Dynamic Programming', 'Queue', '3+']",47.60%,Hard,21.5888%;,23.7K,49.9K,
1426,1426. Counting Elements,"['Array', 'Hash Table']",59.70%,Easy,3.98641%;,98.9K,165.6K,Y
1427,1427. Perform String Shifts,"['Array', 'Math', 'String']",54.30%,Easy,0%;,73.4K,135.2K,Y
1428,1428. Leftmost Column with at Least a One,"['Array', 'Binary Search', 'Matrix', '1+']",53.40%,Medium,45.923%;,164.5K,307.8K,Y
1429,1429. First Unique Number,"['Array', 'Hash Table', 'Design', '2+']",52.90%,Medium,24.3803%;,77.8K,146.9K,Y
1430,1430. Check If a String Is a Valid Sequence from Root to Leaves Path in a Binary Tree,"['Tree', 'Depth-First Search', '2+']",46.40%,Medium,22.8064%;,42.5K,91.6K,Y
1431,1431. Kids With the Greatest Number of Candies,['Array'],87.30%,Easy,41.8108%;,389.4K,446.3K,
1432,1432. Max Difference You Can Get From Changing an Integer,"['Math', 'Greedy']",42.30%,Medium,34.5195%;,14.4K,34K,
1433,1433. Check If a String Can Break Another String,"['String', 'Greedy', 'Sorting']",68.90%,Medium,0%;,35.3K,51.2K,
1434,1434. Number of Ways to Wear Different Hats to Each Other,"['Array', 'Dynamic Programming', '2+']",43.00%,Hard,0%;,11.4K,26.6K,
1435,1435. Create a Session Bar Chart,['Database'],77.10%,Easy,0%;,19.8K,25.7K,Y
1436,1436. Destination City,"['Hash Table', 'String']",77.50%,Easy,27.5667%;,122.2K,157.7K,
1437,1437. Check If All 1's Are at Least Length K Places Away,['Array'],58.80%,Easy,13.3173%;,66K,112.4K,
1438,1438. Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,"['Array', 'Queue', 'Sliding Window', '3+']",48.30%,Medium,50.9345%;,107.7K,223K,
1439,1439. Find the Kth Smallest Sum of a Matrix With Sorted Rows,"['Array', 'Binary Search', '2+']",61.40%,Hard,29.9546%;,28.5K,46.5K,
1440,1440. Evaluate Boolean Expression,['Database'],75.20%,Medium,0%;,21.3K,28.4K,Y
1441,1441. Build an Array With Stack Operations,"['Array', 'Stack', 'Simulation']",71.80%,Medium,37.7137%;,72K,100.3K,
1442,1442. Count Triplets That Can Form Two Arrays of Equal XOR,"['Array', 'Hash Table', 'Math', '2+']",76.00%,Medium,25.7411%;,31.4K,41.3K,
1443,1443. Minimum Time to Collect All Apples in a Tree,"['Hash Table', 'Tree', 'Depth-First Search', '1+']",62.80%,Medium,82.6403%;,98K,156.1K,
1444,1444. Number of Ways of Cutting a Pizza,"['Array', 'Dynamic Programming', '2+']",56.10%,Hard,98.8309%;,25.3K,45.1K,
1445,1445. Apples & Oranges,['Database'],89.80%,Medium,0%;,42K,46.8K,Y
1446,1446. Consecutive Characters,['String'],61.30%,Easy,21.733%;,137.6K,224.5K,
1447,1447. Simplified Fractions,"['Math', 'String', 'Number Theory']",65.10%,Medium,21.5888%;,26.1K,40K,
1448,1448. Count Good Nodes in Binary Tree,"['Tree', 'Depth-First Search', '2+']",74.30%,Medium,37.267%;,308.5K,415.1K,
1449,1449. Form Largest Integer With Digits That Add up to Target,"['Array', 'Dynamic Programming']",47.70%,Hard,42.122%;,14.6K,30.7K,
1450,1450. Number of Students Doing Homework at a Given Time,['Array'],75.90%,Easy,11.1044%;,100.4K,132.3K,
1451,1451. Rearrange Words in a Sentence,"['String', 'Sorting']",63.10%,Medium,28.7601%;,43.8K,69.5K,
1452,1452. People Whose List of Favorite Companies Is Not a Subset of Another List,"['Array', 'Hash Table', 'String']",56.80%,Medium,0%;,21K,37K,
1453,1453. Maximum Number of Darts Inside of a Circular Dartboard,"['Array', 'Math', 'Geometry']",36.90%,Hard,34.9923%;,5.2K,14K,
1454,1454. Active Users,['Database'],37.80%,Medium,23.4761%;,31.3K,83K,Y
1455,1455. Check If a Word Occurs As a Prefix of Any Word in a Sentence,"['String', 'String Matching']",64.20%,Easy,0%;,62.8K,97.7K,
1456,1456. Maximum Number of Vowels in a Substring of Given Length,"['String', 'Sliding Window']",58.20%,Medium,13.5894%;,57K,98K,
1457,1457. Pseudo-Palindromic Paths in a Binary Tree,"['Bit Manipulation', 'Tree', '3+']",67.80%,Medium,55.8414%;,113.3K,167K,
1458,1458. Max Dot Product of Two Subsequences,"['Array', 'Dynamic Programming']",46.60%,Hard,17.3991%;,19.4K,41.6K,
1459,1459. Rectangles Area,['Database'],69.40%,Medium,10.7692%;,14.5K,20.9K,Y
1460,1460. Make Two Arrays Equal by Reversing Subarrays,"['Array', 'Hash Table', 'Sorting']",72.20%,Easy,4.88165%;,104K,144K,
1461,1461. Check If a String Contains All Binary Codes of Size K,"['Hash Table', 'String', 'Bit Manipulation', '2+']",56.60%,Medium,16.4607%;,108.3K,191.2K,
1462,1462. Course Schedule IV,"['Depth-First Search', 'Breadth-First Search', '2+']",49.00%,Medium,0%;,41.7K,85.1K,
1463,1463. Cherry Pickup II,"['Array', 'Dynamic Programming', 'Matrix']",69.60%,Hard,31.7166%;,78.2K,112.3K,
1464,1464. Maximum Product of Two Elements in an Array,"['Array', 'Sorting', 'Heap (Priority Queue)']",79.90%,Easy,20.3904%;,182.3K,228.2K,
1465,1465. Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts,"['Array', 'Greedy', 'Sorting']",40.90%,Medium,49.8689%;,159.7K,390.9K,
1466,1466. Reorder Routes to Make All Paths Lead to the City Zero,"['Depth-First Search', 'Breadth-First Search', '1+']",61.70%,Medium,36.2613%;,74.9K,121.5K,
1467,1467. Probability of a Two Boxes Having The Same Number of Distinct Balls,"['Array', 'Math', 'Dynamic Programming', '3+']",60.80%,Hard,0%;,7K,11.6K,
1468,1468. Calculate Salaries,['Database'],80.70%,Medium,0%;,20.4K,25.3K,Y
1469,1469. Find All The Lonely Nodes,"['Tree', 'Depth-First Search', '2+']",82.20%,Easy,0%;,43.2K,52.6K,Y
1470,1470. Shuffle the Array,['Array'],89.00%,Easy,67.0693%;,508.5K,571.1K,
1471,1471. The k Strongest Values in an Array,"['Array', 'Two Pointers', 'Sorting']",60.40%,Medium,14.1068%;,33K,54.7K,
1472,1472. Design Browser History,"['Array', 'Linked List', 'Stack', '3+']",76.20%,Medium,78.9169%;,120K,157.5K,
1473,1473. Paint House III,"['Array', 'Dynamic Programming']",61.60%,Hard,38.5632%;,55.1K,89.4K,
1474,1474. Delete N Nodes After M Nodes of a Linked List,['Linked List'],73.40%,Easy,0%;,25K,34K,Y
1475,1475. Final Prices With a Special Discount in a Shop,"['Array', 'Stack', 'Monotonic Stack']",76.00%,Easy,24.4436%;,103.8K,136.6K,
1476,1476. Subrectangle Queries,"['Array', 'Design', 'Matrix']",88.30%,Medium,19.319%;,87.2K,98.8K,
1477,1477. Find Two Non-overlapping Sub-arrays Each With Target Sum,"['Array', 'Hash Table', 'Binary Search', '2+']",36.80%,Medium,32.1117%;,43.1K,117.2K,
1478,1478. Allocate Mailboxes,"['Array', 'Math', 'Dynamic Programming', '1+']",55.60%,Hard,32.997%;,20K,35.9K,
1479,1479. Sales by Day of the Week,['Database'],81.00%,Hard,0%;,15.1K,18.7K,Y
1480,1480. Running Sum of 1d Array,"['Array', 'Prefix Sum']",87.70%,Easy,87.2337%;,1.4M,1.6M,
1481,1481. Least Number of Unique Integers after K Removals,"['Array', 'Hash Table', 'Greedy', '2+']",55.70%,Medium,64.8433%;,93.9K,168.6K,
1482,1482. Minimum Number of Days to Make m Bouquets,"['Array', 'Binary Search']",54.20%,Medium,57.9456%;,58.1K,107.2K,
1483,1483. Kth Ancestor of a Tree Node,"['Binary Search', 'Dynamic Programming', '4+']",33.80%,Hard,34.4617%;,26.5K,78.5K,
1484,1484. Group Sold Products By The Date,['Database'],79.90%,Easy,23.8115%;,111.3K,139.3K,
1485,1485. Clone Binary Tree With Random Pointer,"['Hash Table', 'Tree', 'Depth-First Search', '2+']",80.00%,Medium,0.709764%;,21.9K,27.3K,Y
1486,1486. XOR Operation in an Array,"['Math', 'Bit Manipulation']",84.60%,Easy,21.8517%;,151.1K,178.6K,
1487,1487. Making File Names Unique,"['Array', 'Hash Table', 'String']",36.20%,Medium,52.3074%;,29.6K,81.9K,
1488,1488. Avoid Flood in The City,"['Array', 'Hash Table', 'Binary Search', '2+']",26.40%,Medium,51.5135%;,30.2K,114.3K,
1489,1489. Find Critical and Pseudo-Critical Edges in Minimum Spanning Tree,"['Union Find', 'Graph', 'Sorting', '2+']",52.50%,Hard,40.3369%;,10.8K,20.5K,
1490,1490. Clone N-ary Tree,"['Hash Table', 'Tree', 'Depth-First Search', '1+']",83.50%,Medium,0%;,24.7K,29.6K,Y
1491,1491. Average Salary Excluding the Minimum and Maximum Salary,"['Array', 'Sorting']",61.40%,Easy,42.6564%;,196.9K,320.7K,
1492,1492. The kth Factor of n,['Math'],62.80%,Medium,30.7068%;,112.4K,179K,
1493,1493. Longest Subarray of 1's After Deleting One Element,"['Array', 'Dynamic Programming', 'Sliding Window']",60.40%,Medium,59.2398%;,58.3K,96.5K,
1494,1494. Parallel Courses II,"['Dynamic Programming', 'Bit Manipulation', '2+']",30.40%,Hard,52.6585%;,13.5K,44.5K,
1495,1495. Friendly Movies Streamed Last Month,['Database'],49.20%,Easy,0%;,24.5K,49.9K,Y
1496,1496. Path Crossing,"['Hash Table', 'String']",56.00%,Easy,30.2937%;,44.4K,79.3K,
1497,1497. Check If Array Pairs Are Divisible by k,"['Array', 'Hash Table', 'Counting']",39.10%,Medium,42.3616%;,40K,102.3K,
1498,1498. Number of Subsequences That Satisfy the Given Sum Condition,"['Array', 'Two Pointers', 'Binary Search', '1+']",37.50%,Medium,52.2411%;,40.5K,108K,
1499,1499. Max Value of Equation,"['Array', 'Queue', 'Sliding Window', '2+']",45.80%,Hard,47.216%;,36.8K,80.5K,
1500,1500. Design a File Sharing System,"['Hash Table', 'Design', '2+']",44.60%,Medium,34.9923%;,3.5K,7.8K,Y
1501,1501. Countries You Can Safely Invest In,['Database'],54.20%,Medium,22.1031%;,31.1K,57.4K,Y
1502,1502. Can Make Arithmetic Progression From Sequence,"['Array', 'Sorting']",67.80%,Easy,18.5956%;,125.4K,185.1K,
1503,1503. Last Moment Before All Ants Fall Out of a Plank,"['Array', 'Brainteaser', 'Simulation']",55.70%,Medium,22.8064%;,18.2K,32.7K,
1504,1504. Count Submatrices With All Ones,"['Array', 'Dynamic Programming', 'Stack', '2+']",57.60%,Medium,40.3369%;,43.2K,75.1K,
1505,1505. Minimum Possible Integer After at Most K Adjacent Swaps On Digits,"['String', 'Greedy', 'Binary Indexed Tree', '1+']",38.40%,Hard,57.7719%;,8.6K,22.5K,
1506,1506. Find Root of N-Ary Tree,"['Hash Table', 'Bit Manipulation', 'Tree', '1+']",78.50%,Medium,42.122%;,29K,37K,Y
1507,1507. Reformat Date,['String'],63.30%,Easy,32.3758%;,52.9K,83.7K,
1508,1508. Range Sum of Sorted Subarray Sums,"['Array', 'Two Pointers', 'Binary Search', '1+']",59.00%,Medium,18.0312%;,32.1K,54.4K,
1509,1509. Minimum Difference Between Largest and Smallest Value in Three Moves,"['Array', 'Greedy', 'Sorting']",54.60%,Medium,51.4471%;,74.3K,136K,
1510,1510. Stone Game IV,"['Math', 'Dynamic Programming', 'Game Theory']",60.30%,Hard,11.9311%;,64.4K,106.9K,
1511,1511. Customer Order Frequency,['Database'],71.50%,Easy,0%;,34.8K,48.7K,Y
1512,1512. Number of Good Pairs,"['Array', 'Hash Table', 'Math', '1+']",88.20%,Easy,54.8193%;,420.8K,476.9K,
1513,1513. Number of Substrings With Only 1s,"['Math', 'String']",45.40%,Medium,8.84357%;,36.2K,79.7K,
1514,1514. Path with Maximum Probability,"['Array', 'Graph', 'Heap (Priority Queue)', '1+']",48.60%,Medium,18.4798%;,62.7K,129K,
1515,1515. Best Position for a Service Centre,"['Math', 'Geometry', 'Randomized']",37.30%,Hard,33.9534%;,11.9K,31.9K,
1516,1516. Move Sub-Tree of N-Ary Tree,"['Tree', 'Depth-First Search']",63.40%,Hard,0%;,2K,3.2K,Y
1517,1517. Find Users With Valid E-Mails,['Database'],54.10%,Easy,0%;,22.7K,42K,Y
1518,1518. Water Bottles,"['Math', 'Simulation']",60.40%,Easy,29.3417%;,61K,100.9K,
1519,1519. Number of Nodes in the Sub-Tree With the Same Label,"['Hash Table', 'Tree', 'Depth-First Search', '2+']",55.30%,Medium,77.6007%;,77.8K,140.7K,
1520,1520. Maximum Number of Non-Overlapping Substrings,"['String', 'Greedy']",38.20%,Hard,57.6005%;,13K,34K,
1521,1521. Find a Value of a Mysterious Function Closest to Target,"['Array', 'Binary Search', 'Bit Manipulation', '1+']",43.40%,Hard,24.3803%;,8.6K,19.9K,
1522,1522. Diameter of N-Ary Tree,"['Tree', 'Depth-First Search']",73.50%,Medium,0%;,37.8K,51.4K,Y
1523,1523. Count Odd Numbers in an Interval Range,['Math'],49.70%,Easy,87.3574%;,281.7K,567.3K,
